,0
2005-01-31,
2005-02-28,
2005-03-31,
2005-04-30,
2005-05-31,
2005-06-30,
2005-07-31,
2005-08-31,
2005-09-30,
2005-10-31,
2005-11-30,
2005-12-31,
2006-01-31,-0.19090909090909092
2006-02-28,0.06363636363636364
2006-03-31,0.5454545454545455
2006-04-30,
2006-05-31,-0.10909090909090911
2006-06-30,-0.24545454545454545
2006-07-31,-0.6727272727272727
2006-08-31,-0.5909090909090909
2006-09-30,
2006-10-31,0.17272727272727276
2006-11-30,-0.02727272727272728
2006-12-31,
2007-01-31,-0.07272727272727274
2007-02-28,0.14545454545454548
2007-03-31,
2007-04-30,-0.018181818181818184
2007-05-31,-0.14545454545454548
2007-06-30,
2007-07-31,-0.5909090909090909
2007-08-31,0.4727272727272727
2007-09-30,
2007-10-31,-0.09090909090909091
2007-11-30,0.7727272727272727
2007-12-31,-0.3454545454545455
2008-01-31,0.7090909090909092
2008-02-29,-0.41818181818181827
2008-03-31,-0.44545454545454555
2008-04-30,0.13636363636363638
2008-05-31,
2008-06-30,-0.7000000000000001
2008-07-31,-0.48181818181818187
2008-08-31,
2008-09-30,0.6272727272727273
2008-10-31,0.9
2008-11-30,
2008-12-31,0.4090909090909091
2009-01-31,
2009-02-28,
2009-03-31,-0.9
2009-04-30,-0.5181818181818182
2009-05-31,
2009-06-30,-0.3181818181818182
2009-07-31,-0.39090909090909093
2009-08-31,-0.03636363636363637
2009-09-30,0.045454545454545456
2009-10-31,
2009-11-30,0.29090909090909095
2009-12-31,-0.5363636363636364
2010-01-31,
2010-02-28,
2010-03-31,0.09090909090909091
2010-04-30,-0.5181818181818182
2010-05-31,
2010-06-30,0.045454545454545456
2010-07-31,
2010-08-31,0.46363636363636374
2010-09-30,-0.17272727272727276
2010-10-31,
2010-11-30,-0.3454545454545455
2010-12-31,-0.17272727272727276
2011-01-31,0.38181818181818183
2011-02-28,0.18181818181818182
2011-03-31,-0.009090909090909092
2011-04-30,
2011-05-31,0.045454545454545456
2011-06-30,-0.23636363636363636
2011-07-31,
2011-08-31,-0.4727272727272727
2011-09-30,-0.009090909090909092
2011-10-31,0.7000000000000001
2011-11-30,0.3727272727272728
2011-12-31,
2012-01-31,-0.5
2012-02-29,-0.2545454545454546
2012-03-31,
2012-04-30,0.8090909090909091
2012-05-31,-0.6727272727272727
2012-06-30,
2012-07-31,-0.5636363636363637
2012-08-31,-0.5727272727272729
2012-09-30,
2012-10-31,0.45454545454545453
2012-11-30,0.43636363636363645
2012-12-31,0.3181818181818182
2013-01-31,0.7363636363636363
2013-02-28,0.7545454545454545
2013-03-31,
2013-04-30,0.3272727272727273
2013-05-31,0.790909090909091
2013-06-30,
2013-07-31,-0.48181818181818187
2013-08-31,
2013-09-30,0.26363636363636367
2013-10-31,0.8545454545454546
2013-11-30,
2013-12-31,-0.5636363636363637
2014-01-31,0.27272727272727276
2014-02-28,-0.14545454545454548
2014-03-31,-0.5090909090909091
2014-04-30,0.4000000000000001
2014-05-31,
2014-06-30,0.21818181818181823
2014-07-31,-0.23636363636363636
2014-08-31,
2014-09-30,-0.14545454545454548
2014-10-31,0.15454545454545454
2014-11-30,
2014-12-31,0.23636363636363636
2015-01-31,
2015-02-28,
2015-03-31,-0.4090909090909091
2015-04-30,0.6181818181818182
2015-05-31,
2015-06-30,0.4909090909090909
2015-07-31,-0.8090909090909091
2015-08-31,0.28181818181818186
2015-09-30,-0.4727272727272727
2015-10-31,
2015-11-30,0.43636363636363645
2015-12-31,-0.10909090909090911
2016-01-31,
2016-02-29,-0.44545454545454555
2016-03-31,-0.7454545454545456
2016-04-30,
2016-05-31,0.5545454545454546
2016-06-30,-0.16363636363636366
2016-07-31,
2016-08-31,0.21818181818181823
2016-09-30,0.39090909090909093
2016-10-31,-0.7090909090909092
2016-11-30,-0.03636363636363637
2016-12-31,
2017-01-31,-0.03636363636363637
2017-02-28,-0.27272727272727276
2017-03-31,0.009090909090909092
2017-04-30,
2017-05-31,-0.009090909090909092
2017-06-30,0.23636363636363636
2017-07-31,-0.28181818181818186
2017-08-31,0.45454545454545453
2017-09-30,
2017-10-31,0.4000000000000001
2017-11-30,-0.3181818181818182
2017-12-31,
2018-01-31,0.13636363636363638
2018-02-28,-0.7818181818181819
2018-03-31,
2018-04-30,0.4909090909090909
2018-05-31,-0.33636363636363636
2018-06-30,
2018-07-31,0.39090909090909093
2018-08-31,0.20000000000000004
2018-09-30,
2018-10-31,0.02727272727272728
2018-11-30,-0.5181818181818182
2018-12-31,0.045454545454545456
2019-01-31,-0.36363636363636365
2019-02-28,0.5454545454545455
2019-03-31,
2019-04-30,0.27272727272727276
2019-05-31,-0.36363636363636365
2019-06-30,
2019-07-31,0.8951048951048951
2019-08-31,
2019-09-30,-0.5734265734265735
2019-10-31,-0.7132867132867133
2019-11-30,
2019-12-31,0.1328671328671329
2020-01-31,-0.04895104895104895
2020-02-29,
2020-03-31,-0.6713286713286714
2020-04-30,-0.4125874125874127
2020-05-31,
2020-06-30,0.27272727272727276
2020-07-31,0.16083916083916086
2020-08-31,-0.18181818181818185
2020-09-30,0.1188811188811189
2020-10-31,
2020-11-30,0.2517482517482518
2020-12-31,0.09090909090909093
2021-01-31,
2021-02-28,
2021-03-31,0.3216783216783217
2021-04-30,0.23076923076923078
2021-05-31,
2021-06-30,-0.7272727272727274
2021-07-31,
2021-08-31,-0.006993006993006993
2021-09-30,0.44755244755244755
2021-10-31,
2021-11-30,-0.08391608391608392
2021-12-31,-0.02097902097902098
2022-01-31,0.17482517482517487
2022-02-28,0.4125874125874127
2022-03-31,0.6013986013986015
2022-04-30,
2022-05-31,-0.04895104895104895
2022-06-30,-0.1188811188811189
2022-07-31,
2022-08-31,0.1328671328671329
2022-09-30,0.49650349650349657
2022-10-31,-0.10489510489510491
2022-11-30,0.5244755244755246
2022-12-31,
2023-01-31,-0.2377622377622378
2023-02-28,-0.23076923076923078
2023-03-31,-0.06293706293706294
2023-04-30,
2023-05-31,0.02097902097902098
2023-06-30,0.5034965034965035
2023-07-31,0.41958041958041964
2023-08-31,0.22377622377622378
2023-09-30,
2023-10-31,0.2797202797202798
2023-11-30,-0.4685314685314686
2023-12-31,
2024-01-31,0.7132867132867133
2024-02-29,-0.25874125874125875
2024-03-31,
2024-04-30,0.013986013986013986
2024-05-31,0.006993006993006993
2024-06-30,
2024-07-31,-0.3216783216783217
2024-08-31,
2024-09-30,0.7272727272727274
2024-10-31,0.3076923076923077
2024-11-30,
2024-12-31,0.3426573426573427
2025-01-31,-0.32867132867132864
2025-02-28,-0.11188811188811189
2025-03-31,0.5314685314685316
2025-04-30,0.055944055944055944
2025-05-31,
2025-06-30,-0.11188811188811189
2025-07-31,
2025-08-31,
